Games Played,Win Rate against Models,Draw Rate against Models,Win Rate against Random Moves,Average Game Length,Average Loss,Average Max Q value
12700,0.0,0.94,0.7,11.97,0.018904359911050047,0.9117563810099444
12800,0.0,0.96,0.7,12.53,0.018851445246952748,0.910173596080857
12900,0.01,0.98,0.7,11.48,0.01871264341838658,0.9103496779098467
13000,0.0,0.99,0.7,10.1,0.018652179494773304,0.9130852439753522
13100,0.0,0.99,0.7,9.34,0.018759334993893387,0.9186406056596662
13200,0.0,1.0,0.7,10.05,0.018512656763296307,0.9228577240417529
13300,0.02,0.9,0.7,11.03,0.019353905116079866,0.9196762298203934
13400,0.0,0.99,0.7,11.25,0.01930692948656224,0.919662080503591
13500,0.0,1.0,0.7,10.81,0.018848502305678416,0.9206798173861944
13600,0.0,1.0,0.7,12.74,0.019189432374204233,0.9251987828712858
13700,0.0,1.0,0.7,12.14,0.0188550804608945,0.925863031044863
13800,0.01,0.99,0.7,11.03,0.018770843188365156,0.9239186151204826
13900,0.0,1.0,0.7,11.22,0.018936465928947103,0.9231999863946051
14000,0.0,0.99,0.7,11.6,0.018811572772311422,0.9224092289510207
14100,0.0,1.0,0.7,12.1,0.018519005242862346,0.9196726424189536
14200,0.0,0.99,0.7,11.25,0.01806407432693284,0.9279886649992196
14300,0.0,0.99,0.7,11.96,0.017993335545099454,0.9297743416554219
14400,0.01,0.99,0.7,11.71,0.017721529293279314,0.9249106628665171
14500,0.0,1.0,0.7,10.28,0.01793266461959692,0.9261776925311141
14600,0.0,1.0,0.7,10.69,0.018173166727081594,0.9288207964149866
14700,0.0,0.99,0.7,11.5,0.017954106135129193,0.9332037386427433
14800,0.02,0.98,0.7,11.92,0.01783389809618584,0.9315415124714306
14900,0.0,1.0,0.7,10.98,0.017652846373598187,0.9351456036092557
15000,0.0,1.0,0.7,12.77,0.0178084400013303,0.9365738989092233
15100,0.0,1.0,0.7,13.19,0.01802388399469582,0.9446258632386059
15200,0.0,1.0,0.7,12.74,0.017850473185070485,0.9492414912418354
15300,0.0,1.0,0.7,13.35,0.01774744348313517,0.95114130097206
15400,0.01,0.99,0.7,13.88,0.017681958965316397,0.9520467322630007
15500,0.01,0.97,0.7,13.08,0.0172315211846034,0.955910744739506
15600,0.13,0.86,0.7,15.78,0.017189613376036594,0.9589914347578116
15700,0.03,0.96,0.7,14.98,0.016958011664169926,0.9657384067941567
15800,0.0,1.0,0.7,14.26,0.017202667417278765,0.9740611864878628
15900,0.07,0.92,0.7,14.47,0.017244617630725562,0.9776521789406785
16000,0.08,0.92,0.7,14.95,0.017292249199681732,0.9731739584687594
16100,0.04,0.95,0.7,13.75,0.01708741049059236,0.972066116083258
16200,0.01,0.99,0.7,13.54,0.01701642610932117,0.9716773960678722
16300,0.01,0.99,0.7,12.76,0.017221076813818986,0.9717538192698464
16400,0.03,0.97,0.7,13.14,0.017298064999219546,0.9805991063981035
16500,0.01,0.98,0.7,12.72,0.017306691807731023,0.987824773706414
16600,0.0,1.0,0.7,12.38,0.01710689372924135,0.9878092342422664
16700,0.0,1.0,0.7,12.33,0.017439956460515608,0.9914133095517172
16800,0.0,1.0,0.7,12.97,0.017561963024098282,0.9925068264187558
16900,0.0,1.0,0.7,13.34,0.01727861807077015,0.9896903079498043
17000,0.02,0.98,0.7,12.15,0.01760805496006827,0.9857269041220507
17100,0.01,0.99,0.7,10.62,0.017749934914685933,0.9923602172354739
17200,0.0,1.0,0.7,11.97,0.01807109556790715,0.9946560039594078
17300,0.0,0.99,0.7,12.92,0.017788469899924098,0.9942590373937867
17400,0.0,1.0,0.7,14.0,0.017715123112537444,0.9891600655857475
17500,0.02,0.98,0.7,11.75,0.017807887647129074,0.992037666463172
17600,0.02,0.98,0.7,11.3,0.01788837485517373,0.9984790331431267
17700,0.02,0.98,0.7,12.68,0.016983058104452938,0.9986133299303829
17800,0.0,1.0,0.7,12.58,0.017664692883363812,0.9987705087028026
17900,0.0,1.0,0.7,14.01,0.017125847322360187,0.9949900460898405
18000,0.03,0.97,0.7,13.45,0.01680834101703156,1.0012368824814333
18100,0.04,0.96,0.7,13.86,0.01696512383980732,1.0062738303143848
18200,0.01,0.99,0.7,13.23,0.016881243915702383,1.0072059116795145
18300,0.0,1.0,0.7,13.36,0.016422760610289258,1.013059079591789
18400,0.01,0.99,0.7,11.35,0.016801113789777493,1.0143757367245223
18500,0.0,1.0,0.7,11.35,0.016979400198882964,1.0162427038746378
18600,0.0,0.99,0.7,12.94,0.01721733061035227,1.012157793317347
18700,0.0,1.0,0.7,13.6,0.017146934586745422,1.011835699549388
18800,0.02,0.98,0.7,13.21,0.016826635552948624,1.018613329958277
18900,0.0,1.0,0.7,13.69,0.017634159118790026,1.0220135417206426
19000,0.02,0.98,0.7,14.52,0.01715951989924497,1.018514780439831
19100,0.0,1.0,0.7,14.19,0.01730249882550106,1.0144995405862023
19200,0.01,0.99,0.7,13.98,0.016845761065859298,1.0153755394139774
19300,0.0,0.99,0.7,14.69,0.01670586449113208,1.0149485373295581
19400,0.0,0.99,0.7,13.23,0.016462123830161327,1.0186676671619095
19500,0.0,1.0,0.7,13.26,0.016552383279903736,1.0173256577367698
19600,0.01,0.99,0.7,13.3,0.0164439713331924,1.021706711335715
19700,0.0,1.0,0.7,11.91,0.016261697918663807,1.0286446508504141
19800,0.0,1.0,0.7,11.51,0.01614862705238869,1.0247542876956972
19900,0.0,1.0,0.7,14.63,0.01659182353029127,1.0238909633855635
20000,0.02,0.98,0.7,14.77,0.016109216995432545,1.0287139685981548
20100,0.0,0.99,0.7,12.5,0.0158098337774107,1.0306943895569134
20200,0.0,1.0,0.7,12.66,0.015954839138689725,1.0294947069300888
20300,0.01,0.99,0.7,12.6,0.01586036544779403,1.0286464326136455
20400,0.01,0.99,0.7,13.45,0.016448086107455843,1.0327140379219477
20500,0.01,0.98,0.7,12.81,0.015880274862926258,1.0367009224414299
20600,0.0,1.0,0.7,15.38,0.015929655317549894,1.0453535413877844
20700,0.0,1.0,0.7,15.98,0.015464187032274469,1.0521273644143334
20800,0.01,0.99,0.7,16.67,0.01583874100432539,1.0579467983936446
20900,0.01,0.99,0.7,16.7,0.015526560409127026,1.0649136075833139
21000,0.01,0.99,0.7,16.79,0.01597527020628969,1.068752816729147
21100,0.01,0.99,0.7,17.77,0.015330905793859926,1.070445435152295
21200,0.0,1.0,0.7,16.54,0.015085158583646114,1.0729303047500736
21300,0.04,0.95,0.7,15.56,0.014577084143166023,1.0725475286969075
21400,0.06,0.94,0.7,17.08,0.014617335574367268,1.0734754150381507
21500,0.06,0.92,0.7,17.33,0.014767792039218583,1.0691241772257776
21600,0.03,0.96,0.7,14.58,0.014184721852217048,1.0687307564199908
21700,0.0,1.0,0.7,15.81,0.015113728041854138,1.0702100686199827
21800,0.05,0.95,0.7,17.13,0.014762723378616591,1.0663141565342855
21900,0.05,0.95,0.7,17.23,0.01446071942859903,1.0631208874356946
22000,0.16,0.84,0.7,17.78,0.014221152655861984,1.0587095673692226
22100,0.09,0.91,0.7,17.72,0.014151394978890177,1.060931715185505
22200,0.04,0.96,0.7,15.8,0.01441781880802849,1.0605413820535412
22300,0.02,0.97,0.7,17.19,0.01460404750964627,1.0565940981790418
22400,0.01,0.99,0.7,17.94,0.01443070518796582,1.0532106034885547
22500,0.1,0.9,0.7,17.58,0.013967475173946467,1.0520124366207153
22600,0.04,0.95,0.7,17.36,0.01440017462326492,1.0565821578376684
22700,0.09,0.91,0.7,18.05,0.014350653552865215,1.0591349696620636
22800,0.12,0.88,0.7,18.1,0.014144289516784899,1.0534434348891177
22900,0.01,0.99,0.7,17.73,0.013421490164931316,1.0519819640153367
23000,0.0,1.0,0.7,16.45,0.013314600990774219,1.0582966580697286
23100,0.0,1.0,0.7,16.68,0.01326933661351572,1.0611932218222129
23200,0.01,0.99,0.7,16.29,0.012985873582391061,1.0643048771403745
23300,0.02,0.98,0.7,14.91,0.012844251616708886,1.0721440888826128
23400,0.06,0.94,0.7,16.73,0.0126419788414442,1.0746392071723503
23500,0.02,0.97,0.7,14.95,0.012282804641970466,1.0750530558502536
23600,0.0,0.99,0.7,16.91,0.011757523519351207,1.0700427523128786
23700,0.06,0.94,0.7,16.25,0.011907002502808163,1.0691304014770793
23800,0.04,0.96,0.7,17.28,0.011522569897130264,1.0735769628017162
23900,0.06,0.94,0.7,17.53,0.011629694949273073,1.0750323432808426
24000,0.06,0.94,0.7,18.84,0.011349473472813431,1.074987003891541
24100,0.09,0.91,0.7,17.61,0.01128614887547178,1.0802842939531079
24200,0.02,0.98,0.7,17.91,0.011439602863149025,1.0827418114912168
24300,0.02,0.97,0.7,15.05,0.011162412419397007,1.0837680441726483
24400,0.03,0.97,0.7,13.82,0.010889971986623385,1.0845596894871363
24500,0.01,0.99,0.7,14.5,0.011291093152663977,1.089148402933981
24600,0.07,0.93,0.7,17.57,0.011235630059017716,1.090719873504531
24700,0.22,0.78,0.7,16.58,0.011197460846961906,1.094639105912238
24800,0.03,0.96,0.7,14.25,0.011424397771541932,1.0954052315489986
24900,0.04,0.96,0.7,13.05,0.011675129533239287,1.0980254239044744
25000,0.0,1.0,0.7,12.75,0.011564052444460383,1.095542014381627
25100,0.0,1.0,0.7,12.77,0.011197259564547592,1.0925204009156309
25200,0.01,0.98,0.7,13.61,0.011538557808728554,1.0900328805692154
25300,0.0,1.0,0.7,14.84,0.011689036557551546,1.0844193992259503
25400,0.0,1.0,0.7,15.83,0.011583259742984324,1.0788401566256907
25500,0.0,1.0,0.7,16.78,0.011518059241357197,1.0777889269199512
25600,0.02,0.97,0.7,17.2,0.011099542550421148,1.0772388006713864
25700,0.09,0.91,0.7,15.17,0.011140494450904061,1.0748320224104468
25800,0.07,0.93,0.7,15.95,0.011618560511719216,1.0712662361198217
25900,0.03,0.97,0.7,18.25,0.01164533111913688,1.0688091395304544
26000,0.01,0.99,0.7,16.36,0.011487371816513041,1.0676716687490408
26100,0.02,0.98,0.7,17.39,0.011754522190211995,1.0633334022884453
26200,0.01,0.99,0.7,17.94,0.011438216577374398,1.06117385361369
26300,0.03,0.97,0.7,16.81,0.01172803424505876,1.062058358813965
26400,0.01,0.97,0.7,16.98,0.011641268479834632,1.0647143137639532
26500,0.01,0.99,0.7,18.31,0.011511605214276015,1.0666715194376988
26600,0.09,0.91,0.7,17.16,0.011164458041413264,1.0658385569419462
26700,0.0,1.0,0.7,16.01,0.011316185214810138,1.0679487246965287
26800,0.0,0.99,0.7,15.98,0.011157443909794632,1.0668040877007463
26900,0.02,0.98,0.7,16.03,0.011228571788168216,1.0630313383036099
27000,0.0,1.0,0.7,17.25,0.011207960816097573,1.0603581397161188
27100,0.0,1.0,0.7,15.63,0.011212190384156096,1.0579957769680044
27200,0.0,1.0,0.7,18.43,0.011031916104171185,1.0611434403960358
27300,0.03,0.97,0.7,18.75,0.010899317731733936,1.0587722092166827
27400,0.04,0.96,0.7,19.45,0.01096258756608223,1.055210296095257
27500,0.1,0.9,0.7,19.26,0.010834371862943329,1.0535940753257416
27600,0.12,0.88,0.7,18.86,0.010638110327738894,1.0527512855966947
27700,0.08,0.91,0.7,19.27,0.01095484592674028,1.0521554294081488
27800,0.03,0.97,0.7,19.01,0.01073928698002253,1.0493831288850357
27900,0.15,0.85,0.7,19.34,0.010512429252232426,1.0463028693758114
28000,0.2,0.8,0.7,19.8,0.010706684031525424,1.0467761999149583
28100,0.04,0.95,0.7,20.18,0.01021213675277359,1.0498054328753659
28200,0.05,0.95,0.7,20.28,0.010128543313214073,1.0510826558909996
28300,0.06,0.94,0.7,19.87,0.010216938284351423,1.0423751868033522
28400,0.01,0.99,0.7,20.08,0.010066462238620712,1.0432128759621344
28500,0.09,0.91,0.7,20.19,0.010175570483518985,1.038176881414582
28600,0.18,0.82,0.7,19.83,0.009914437696909733,1.0356478648324032
28700,0.17,0.83,0.7,17.59,0.00993720999797834,1.0333452631439313
28800,0.02,0.97,0.7,17.44,0.009885990527358947,1.0388562459891753
28900,0.05,0.94,0.7,17.31,0.010225062586402735,1.0406920969759188
29000,0.07,0.93,0.7,18.16,0.010456106749338919,1.0390136691399143
29100,0.04,0.96,0.7,18.16,0.010403603410850414,1.0327841323253706
29200,0.06,0.94,0.7,16.36,0.010420724115889903,1.0328487612390547
29300,0.03,0.96,0.7,17.49,0.010464525713747286,1.0378360227272387
29400,0.05,0.95,0.7,18.83,0.01007453768284583,1.0422209598895067
29500,0.05,0.95,0.7,18.14,0.010894122126821252,1.0409129227474576
29600,0.02,0.98,0.7,18.58,0.010589895766749034,1.0411455320775755
29700,0.0,1.0,0.7,16.99,0.010306063509731504,1.047761763771781
29800,0.04,0.96,0.7,18.02,0.010523583410666958,1.0506124838205333
29900,0.02,0.98,0.7,19.22,0.010395184895806325,1.0500384334874213
30000,0.01,0.99,0.7,18.58,0.00997048013669936,1.0479570225592194
30100,0.01,0.98,0.7,18.96,0.009998017923061294,1.0449890632012897
30200,0.0,1.0,0.7,19.48,0.009823075187251366,1.0457922481204098
30300,0.0,0.99,0.7,19.04,0.00947095787605288,1.045874349398916
30400,0.0,1.0,0.7,19.77,0.009443164435207646,1.0431173306520254
30500,0.02,0.98,0.7,20.01,0.008812770219276315,1.0436918972790796
30600,0.01,0.98,0.7,17.67,0.008439066904901118,1.037796205658468
30700,0.04,0.96,0.7,18.07,0.007748274170879791,1.034148157802973
30800,0.02,0.97,0.7,18.11,0.007667129894581761,1.0329136098533842
30900,0.0,1.0,0.7,17.29,0.007365173635616347,1.0285278538264067
31000,0.01,0.99,0.7,13.75,0.007465142093434186,1.0261761980816766
31100,0.0,1.0,0.7,13.88,0.007426199146674028,1.024087452885219
31200,0.01,0.99,0.7,13.11,0.007877570647718766,1.0225406375939476
31300,0.0,1.0,0.7,13.22,0.007955174045716797,1.021346405164185
31400,0.0,0.99,0.7,11.88,0.008442069179046099,1.0186244904031725
31500,0.01,0.99,0.7,13.14,0.008826854460067715,1.0209224173624023
31600,0.0,1.0,0.7,12.96,0.009021625996522576,1.0170205550599705
31700,0.0,0.99,0.7,11.63,0.00927011401901933,1.0150493440299884
31800,0.0,1.0,0.7,13.21,0.009804839815336914,1.0106537392216035
31900,0.0,1.0,0.7,16.1,0.009788789030616543,1.008404065157196
32000,0.0,1.0,0.7,15.65,0.010093571246679438,1.0027972832003713
32100,0.01,0.99,0.7,14.68,0.009901143877993342,1.0005615791439988
32200,0.01,0.99,0.7,15.11,0.009788100210724687,1.0009787194085493
32300,0.0,1.0,0.7,17.28,0.01016928011181912,0.9972566176169936
32400,0.01,0.99,0.7,18.38,0.009990720198444755,0.995742665979628
32500,0.01,0.99,0.7,18.5,0.009519866949952488,0.9992494070776933
32600,0.19,0.81,0.7,18.7,0.009400125095844803,0.9985385784162301
32700,0.08,0.92,0.7,19.27,0.009091648085913777,0.9940868716276041
32800,0.01,0.99,0.7,19.91,0.008831855920365804,0.9886335420508411
32900,0.02,0.98,0.7,19.78,0.008760908397014926,0.9860276182818711
33000,0.04,0.96,0.7,18.22,0.009073231747165409,0.9820411061760672
33100,0.01,0.98,0.7,18.75,0.008994236974059542,0.9780629964403365
33200,0.12,0.88,0.7,18.79,0.009117830664422719,0.9816256438188988
33300,0.01,0.99,0.7,15.21,0.009893701228658562,0.9829907519200805
33400,0.01,0.99,0.7,15.85,0.009328736054612645,0.9876482533801878
33500,0.04,0.96,0.7,16.42,0.009356350078106023,1.0015022144208974
33600,0.01,0.98,0.7,18.29,0.009421294681577078,1.0071814927468359
33700,0.01,0.99,0.7,17.63,0.009228083952115043,1.0022162579154823
33800,0.0,1.0,0.7,17.92,0.009407456919344562,0.9890122822681036
33900,0.0,1.0,0.7,17.63,0.009296941932699901,0.9899433600763576
34000,0.02,0.98,0.7,17.04,0.009180440781390735,0.9971597862209555
34100,0.15,0.85,0.7,18.2,0.009147164217823528,0.9976932021648821
